product_id,marketplace_id,product_title,product_price,list_price,manufacturer,upc,model_name,product_dimensions,product_weight,customer_ratings,average_rating,listing_url,image_url,seller_info_url,seller_name,business_name,business_address,zip_code,country
B0CC5X5MJF,2,HUDA BEAUTY #FAUXFILTER Under Eye Color Corrector - Pink Pomelo (light pink for fair to light skin tones),$36.06,$36.06,Huda Beauty,UECC11,-,3.5 x 1.26 x 1.1 inches, 1.45 Ounces,6 ratings,3.9 out of 5 stars,https://www.amazon.com/HUDA-BEAUTY-FAUXFILTER-Under-Corrector/dp/B0CC5X5MJF/ref=sr_1_1?crid=PVQZBDT10TT2&keywords=huda+beauty&qid=1699042229&sprefix=%2Caps%2C135&sr=8-1,https://m.media-amazon.com/images/I/41BR-Ugt8bL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2W4V02K56LC9E&asin=B0CC5X5MJF&ref_=dp_merchant_link&isAmazonFulfilled=1,Optimal Choice Distribution,Peter Zentner LLC,10522 BARACOA CT - TRINITY - FL,34655,US
B0CBV7RN8X,2,HUDA BEAUTY Easy Bake Loose Baking & Setting Powder MINI - Cherry Blossom,$32.85,$49.00,Huda Beauty,WPTGHLKNM893,-,8.43 x 4.61 x 2.87 inches, 2.12 Ounces,3 ratings,4.6 out of 5 stars,https://www.amazon.com/BEAUTY-Loose-Baking-Setting-Powder/dp/B0CBV7RN8X/ref=sr_1_2?crid=PVQZBDT10TT2&keywords=huda+beauty&qid=1699042229&sprefix=%2Caps%2C135&sr=8-2,https://m.media-amazon.com/images/I/41FwZjgFW2L._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1ZDKRH1TA1C6C&asin=B0CBV7RN8X&ref_=dp_merchant_link&isAmazonFulfilled=1,Want More Essentials,More Than 1. LLC,423 Elmwood Pond Court - CHARLOTTE - NC,28214,US
B0BY3DK9RR,2,HUDA BEAUTY Easy Bake Loose Baking & Setting Powder Full Size - CHERRY BLOSSOM (Sheer Soft Pink),$44.99,$44.99,Huda Beauty,-,-,5.04 x 4.37 x 2.17 inches, 4.62 Ounces,46 ratings,4.6 out of 5 stars,https://www.amazon.com/BEAUTY-Loose-Baking-Setting-Powder/dp/B0BY3DK9RR/ref=sr_1_3?crid=PVQZBDT10TT2&keywords=huda+beauty&qid=1699042229&sprefix=%2Caps%2C135&sr=8-3,https://m.media-amazon.com/images/I/31Aza4kAvDL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3RJJA5773Q6M&asin=B0BY3DK9RR&ref_=dp_merchant_link&isAmazonFulfilled=1,ShoreLine Shop,Andinh Ha,98 Pronghorn Ln - Bridger - MT,59014,US
B0CC5YNWXC,-,HUDA BEAUTY #FAUXFILTER Under Eye Color Corrector - Peach (light pinky orange for light to medium skin tones), $58.19 , $58.19 ,Huda Beauty,UECC12,-,3.9 x 1.22 x 1.1 inches, 1.41 Ounces,-,-,https://www.amazon.com/HUDA-BEAUTY-FAUXFILTER-Under-Corrector/dp/B0CC5YNWXC/ref=sr_1_4?crid=PVQZBDT10TT2&keywords=huda+beauty&qid=1699042229&sprefix=%2Caps%2C135&sr=8-4,https://m.media-amazon.com/images/I/61hhpqiUc+L._AC_UL320_.jpg,-,-,-,-,-,-
B08J7JNT2F,2,HUDA BEAUTY Haze Obsessions Eyeshadow Palette KHAKI Limited Edition 2020,$32.00,$32.00,-,HUDCMW027,-,Item Dimensions LxWxH,-,13 ratings,3.9 out of 5 stars,https://www.amazon.com/BEAUTY-Obsessions-Eyeshadow-Palette-Limited/dp/B08J7JNT2F/ref=sr_1_5?crid=PVQZBDT10TT2&keywords=huda+beauty&qid=1699042229&sprefix=%2Caps%2C135&sr=8-5,https://m.media-amazon.com/images/I/71Hucb9CJ6L._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3CI22UQQ1O1HV&asin=B08J7JNT2F&ref_=dp_merchant_link&isAmazonFulfilled=1,Seizee,SEIZEE LLC,1300 poplar drive - McKinney - TX,75072,US
B07Z9MV5H3,-,NUDE EYESHADOW PALETTE HUDA BEAUTY 100% AUTHENTIC (RICH), $34.57 , $34.57 ,No,6291106034288_SML,-,Item Dimensions LxWxH,-,96 ratings,3.8 out of 5 stars,https://www.amazon.com/NUDE-EYESHADOW-PALETTE-BEAUTY-AUTHENTIC/dp/B07Z9MV5H3/ref=sr_1_6?crid=PVQZBDT10TT2&keywords=huda+beauty&qid=1699042229&sprefix=%2Caps%2C135&sr=8-6,https://m.media-amazon.com/images/I/71SUhmmdHHL._AC_UL320_.jpg,-,-,-,-,-,-
B07Z9QHCF6,-,HUDA BEAUTY Nude Obsessions Eyeshadow Palette Nude Light, $33.90 , $33.90 ,No,6.29111E+12,-,Item Dimensions LxWxH,-,108 ratings,4.2 out of 5 stars,https://www.amazon.com/EYESHADOW-PALETTE-BEAUTY-AUTHENTIC-LIGHT/dp/B07Z9QHCF6/ref=sr_1_7_mod_primary_new?crid=PVQZBDT10TT2&keywords=huda+beauty&qid=1699042229&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=%2Caps%2C135&sr=8-7,https://m.media-amazon.com/images/I/61EVjWnAWUL._AC_UL320_.jpg,-,-,-,-,-,-
B07YVKR9QK,2,HUDA BEAUTY Life Liner Double Ended Eyeliner Liquid & Pencil,$32.26,$32.26,-,-,-,0.39 x 0.39 x 5.51 inches, 0.8 Ounces,282 ratings,4.5 out of 5 stars,https://www.amazon.com/BEAUTY-Double-Eyeliner-Liquid-Pencil/dp/B07YVKR9QK/ref=sr_1_8?crid=PVQZBDT10TT2&keywords=huda+beauty&qid=1699042229&sprefix=%2Caps%2C135&sr=8-8,https://m.media-amazon.com/images/I/41NC8-PAkJL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1Z4H32H3HOR4Z&asin=B07YVKR9QK&ref_=dp_merchant_link&isAmazonFulfilled=1,Family Gift Shoppe,Gary Stephens,30251 GOLDEN LANTERN STE E - PMB 103 - LAGUNA NIGUEL - CA,92677-5994,US
B09DBQRRS2,-,HUDA BEAUTY Quick ‘N Easy Precision Liquid Liner Very Vanta, $25.40 , $25.40 ,-,2467298,-,6.57 x 2.99 x 1.14 inches, 0.32 Ounces,35 ratings,3.9 out of 5 stars,https://www.amazon.com/Huda-Liner-Quick-Liquid-Eyeliner/dp/B09DBQRRS2/ref=sr_1_9_mod_primary_new?crid=PVQZBDT10TT2&keywords=huda+beauty&qid=1699042229&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=%2Caps%2C135&sr=8-9,https://m.media-amazon.com/images/I/41r4eo6uUqL._AC_UL320_.jpg,-,-,-,-,-,-
B0C24B9LT8,2,HUDA BEAUTY #FauxFilter Luminous Matte Buildable Coverage Crease Proof Concealer Yogurt Drops 1.5 Beige,$37.53,$45.00,Huda Beauty,2577625,-,4.41 x 2.95 x 1.34 inches, 1.45 Ounces,2 ratings,5.0 out of 5 stars,https://www.amazon.com/FauxFilter-Luminous-Buildable-Coverage-Concealer/dp/B0C24B9LT8/ref=sr_1_10?crid=PVQZBDT10TT2&keywords=huda+beauty&qid=1699042229&sprefix=%2Caps%2C135&sr=8-10,https://m.media-amazon.com/images/I/41+yZKZ0HvL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3JXF7CA9MSZU&asin=B0C24B9LT8&ref_=dp_merchant_link&isAmazonFulfilled=1,Danger Deals LLC,Danger Deals LLC,10636 Rivermont Dr - STOCKTON - CA,95209,US
